timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
943,6,172.16.133.95,49359,157.56.240.102,443
947,17,172.16.133.6,59323,8.8.8.8,53
958,6,172.16.133.26,53042,68.64.28.20,443
987,6,172.16.133.41,52657,81.17.254.12,80
987,6,172.16.133.41,52658,81.17.254.12,80
990,6,172.16.133.116,52395,96.43.146.48,443
997,6,172.16.133.25,63141,96.43.146.176,443
1000,6,172.16.133.47,56533,67.217.64.65,443
1000,6,172.16.133.47,56535,67.217.64.64,443
1001,17,172.16.133.56,49514,68.64.21.42,1853
1003,6,172.16.133.78,58905,130.64.83.164,64216
1004,6,172.16.133.66,53271,173.194.43.54,443
1005,17,172.16.133.49,58246,68.64.21.41,1853
1014,6,172.16.133.24,57656,64.56.203.22,443
1015,17,172.16.133.57,53807,68.64.21.62,1853
1015,17,172.16.133.99,56566,67.217.78.32,1853
1023,6,172.16.133.56,60846,67.217.64.54,443
1023,6,172.16.133.56,60849,67.217.64.49,443
1025,17,172.16.133.47,51444,68.64.21.45,1853
1025,17,172.16.133.118,56495,68.64.21.45,1853
1029,6,172.16.133.132,50405,76.13.6.174,80
1031,6,172.16.133.48,59660,67.228.168.221,80
1032,17,172.16.133.39,55445,67.217.78.36,1853
1033,17,172.16.133.37,55363,68.64.21.36,1853
1034,6,172.16.133.132,54620,98.139.161.29,80
1039,17,172.16.133.85,51035,68.64.29.28,1853
1046,17,172.16.133.60,63861,68.64.21.41,1853
1051,6,172.16.133.12,62872,173.194.76.125,5222
1054,6,172.16.133.109,49451,96.43.146.22,443
1057,17,172.16.133.207,50477,68.64.21.45,1853
1067,6,172.16.133.75,58186,157.56.241.150,443
1069,6,172.16.133.18,49357,23.21.62.199,5222
1071,6,172.16.133.36,63693,204.236.224.158,5222
1074,6,172.16.133.29,60773,54.243.68.206,80
1075,6,172.16.133.29,60774,54.243.68.206,80
1075,6,172.16.133.29,60786,208.47.254.83,80
1075,6,172.16.133.29,60776,23.15.129.231,80
1075,6,172.16.133.29,60775,23.15.129.231,80
1075,6,172.16.133.29,60777,23.15.129.231,80
1075,6,172.16.133.29,60779,23.15.129.231,80
1075,6,172.16.133.29,60778,23.15.129.231,80
1075,6,172.16.133.29,60783,23.0.52.46,80
1075,6,172.16.133.29,60784,23.0.52.46,80
1075,6,172.16.133.29,60785,23.0.52.46,80
1075,6,172.16.133.29,60788,64.94.107.46,80
1075,6,172.16.133.29,60787,64.94.107.46,80
1075,6,172.16.133.29,60790,173.194.43.57,80
1075,6,172.16.133.29,60789,173.194.43.57,80
1075,6,172.16.133.29,60780,50.17.220.219,80
1075,6,172.16.133.29,60781,50.17.220.219,80
1075,6,172.16.133.29,60782,206.33.41.253,80
1075,6,172.16.133.29,60792,206.33.41.253,80
1075,6,172.16.133.29,60791,206.33.41.253,80
1075,6,172.16.133.29,60793,206.33.41.253,80
1075,6,172.16.133.29,60794,206.33.41.253,80
1076,6,172.16.133.29,60797,64.94.107.11,80
1076,6,172.16.133.29,60796,64.94.107.11,80
1076,6,172.16.133.29,60800,138.108.7.20,80
1076,6,172.16.133.29,60798,138.108.7.20,80
1076,6,172.16.133.29,60805,173.194.43.45,80
1076,6,172.16.133.24,56804,107.22.199.132,443
1076,6,172.16.133.29,60804,173.194.43.45,80
1076,6,172.16.133.29,60802,216.52.242.80,80
1076,6,172.16.133.29,60801,216.52.242.80,80
1076,6,172.16.133.29,60803,216.52.242.80,80
1077,17,172.16.133.67,56707,68.64.21.46,1853
1080,6,172.16.133.26,53149,54.235.187.196,443
1083,6,172.16.133.84,58698,64.90.204.229,443
1090,17,172.16.133.92,64264,68.64.29.40,1853
1091,17,172.16.133.36,62603,68.64.21.42,1853
1092,17,172.16.133.53,60838,68.64.21.40,1853
1095,17,172.16.133.26,54654,68.64.21.37,1853
1097,6,172.16.133.71,52729,23.21.62.199,5222
1097,17,172.16.133.57,53807,68.64.21.71,1853
1106,6,172.16.133.132,44310,98.138.19.88,80
1123,17,172.16.133.114,49319,68.64.21.44,1853
